,0
49,"
Na Universidade Federal do Rio Grande do Sul (UFRGS), o processo para aprovação de ações finalísticas a serem 
realizadas entre a Universidade e outras partes interessadas passa por um processo moroso e burocrático, conhecido 
como Interações Acadêmicas. Esse artigo relata como a ferramenta de Mapeamento de Fluxo de Valor (MFV) foi 
utilizada para apoiar a análise e a elaboração de recomendações para esse processo. Os resultados mostram que o 
MFV permitiu o correto esclarecimento do problema, direcionando as estratégias e ações a serem tomadas.
Palavras-chave: Mapeamento de fluxo de valor; Interações; Universidades; Produção enxuta; Gestão pública.
"
50,"
O presente trabalho objetiva descrever a metodologia de implantação da Gestão de Processos de Negócio em uma 
divisão orçamentária de uma Instituição Federal de Ensino Superior. Trata-se de mostrar como se deu a evolução 
dessa trajetória, bem como propor a modelagem e implantação de melhorias nos processos que perpassam esse setor. 
A utilização desse modelo norteará as futuras ações da equipe da Divisão de Orçamento e servirá de base para os 
próximos passos do planejamento e execução orçamentária da universidade.
Palavras-chave: Gestão de Processos de Negócio; Divisão Orçamentária; Universidade.
"
51,"
Este trabalho apresenta os benefícios obtidos em um projeto científico em que houve o envolvimento dos escritórios 
de projetos, processos e de inovação tecnológica no apoio a sua gestão. No trabalho são apresentados os métodos 
empregados para permitir que coordenação científica pudesse concentrar maiores esforço nas questões científicas, 
deixando o apoio a gestão operacional e de modelagem dos processos a cargo dos escritórios. Esse modelo de 
envolvimento tem um caráter inovador na universidade e pode ser um ponto importante para a absorção de novos 
projetos e para a sustentabilidade da mesma.
"
52,"
Este trabalho investigou o uso de gestão de processos de negócios em um ambiente de serviços de tecnologia de 
informação e comunicação (TIC), para obtenção de melhores resultados de desempenho. Um estudo de caso foi 
realizado no Núcleo de Tecnologia da Informação da UFPE. Utilizando abordagens como BPMN e gestão por 
indicadores em um processo de melhoria contínua foi possível melhorar os resultados à medida que novos ciclos de 
melhoria eram realizados.
Palavras-chave: Gerenciamento de Processos de Negócio; BPMN; Indicadores; Melhoria Contínua; Gerenciamento 
de Serviços de TIC
"
53,"
Tendo por base uma pesquisa de natureza qualitativa-quantitativa, este relato de experiência busca avaliar o 
quanto a Universidade Federal de Juiz de Fora evoluiu em seu modelo de maturidade em processos, a partir da 
criação do Escritório de Processos (EP). Os resultados demonstram que a estruturação de ciclos de maturidade 
orientou o processo evolutivo do EP e que esse prosperou nas metas inicialmente propostas, tornando-se referência à 
Administração da instituição, o que resultou na mudança do escopo de atuação do EP.
"
54,"
O Escritório de Projetos e Processos da Universidade Federal de Mato Grosso conduziu a implementação do novo 
fluxo do processo de aula de campo com a utilização de técnicas de gestão de projetos e processos a fim de conseguir os 
resultados esperados. Os esforços resultaram no engajamento dos responsáveis pelo processo, situação indispensável 
para a efetivação do trabalho. Os resultados positivos da implementação do projeto geraram celeridade e economia 
financeira para a Instituição.
Palavras-chave: BPM, implementação de melhoria, graduação
"
55,"
Este artigo tem a finalidade de apresentar como a Universidade Federal de Santa Maria está incorporando a Gestão 
de Riscos à Gestão por Processos. Fundamentado em alguns conceitos, tais como: BPM, COSO, Norma NBR “ISO 
31000:2009 e Gestão de Riscos, o Projeto Modernização Administrativa da Reitoria da UFSM desenvolveu um 
piloto afim de validar uma metodologia capaz de identificar os riscos em processos, bem como seus impactos, e 
propor ações que possam minimizar ou até eliminar determinados riscos.
Palavras-chave: Gestão por Processos; Gestão de Riscos; Riscos.
"
56,"
A Universidade Federal do Rio Grande do Sul (UFRGS) estava atrasando os pagamentos dos fornecedores referentes 
aos serviços prestados pela Pró-reitoria de Assuntos Estudantis (PRAE). O presente trabalho tem por objetivo 
apresentar o projeto de melhoria para o processo de pagamento de fornecedores do principal serviço prestado pela 
PRAE, o Restaurante Universitário (RU). A partir da modelagem AS IS e de uma análise do processo, identificou-se 
que a falta de visão holística e o excesso de burocracia no controle das notas fiscais (NFs) estava gerando o atraso no 
pagamento. A partir disso, melhorias foram propostas para o processo.
Palavras-chave: BPM, melhoria de processos, processo de pagamento
"
57,"
Este artigo descreve a motivação, o desenvolvimento e a aplicação de um Modelo de Maturidade em Mapeamento 
de Processos (M3P) pelo Núcleo de Qualidade Interna (NQI) da UFCSPA. É um modelo descritivo e prescritivo, 
composto por 8 níveis de maturidade, desenvolvido para prover mais autonomia aos setores da Universidade na 
implantação da Gestão por Processos. Cada nível é composto por critérios, que são avaliados a partir de checklists 
com itens objetivos de avaliação. Foi também definido um processo de avaliação, com a utilização do aplicativo 
M3P App. O primeiro ciclo de avaliações foi finalizado em novembro de 2018, no qual 18 setores foram avaliados 
e 431 artefatos revisados. Com estas ações, observou-se maior conscientização e o engajamento efetivo das pessoas 
envolvidas.
"
58,"
Este artigo apresenta a integração de uma ferramenta de Business Intelligence (BI) ao Gerenciamento de Processos 
de Negócio (BPM), por meio de relatórios gráficos e interativos para avaliar e monitorar o desempenho dos processos 
organizacionais. A ferramenta utilizada para tratamento dos dados foi o Power BI®. Os comandos utilizados no 
software permitiram encontrar os indicadores críticos dos processos, que foram importantes para a definição dos 
principais problemas a serem resolvidos. Além disso, os indicadores viabilizaram a tomada de decisão em relação à 
definição de metas, tais como o tempo máximo de tramitação dos processos.
Palavras-chave: Business Intelligence; Processos organizacionais; Power BI®.
"
59,"
A crescente demanda por sistemas de gestão eficientes e que atendam as regras de negócios e as reais necessidades dos 
usuários nas instituições públicas de ensino, tem exigido a busca de novas ferramentas que facilitem o levantamento 
e a elicitação dos requisitos dos sistemas. Este trabalho relata o uso do mapeamento de processos de negócio na 
Universidade Federal de Juiz de fora como facilitador no entendimento entre o usuário e os analistas de TI. Os 
resultados apontam que a partir da adoção desta nova sistemática, os usuários passaram a compreender de forma 
clara os processos e desta forma permitiu o entendimento com os analistas de TI das especificidades do sistema 
requisitado. 
"
60,"
Ao adquirir o Sistema Integrado de Gestão Acadêmica (SIGAA) da UFRN, foi necessário realizar diversas 
modificações para que ele pudesse ser utilizado pela comunidade da UFPB. Apesar de ambas Instituições Federais 
serem acadêmicas, nem sempre a maneira como elas realizam as atividades são iguais, ou seja, os regulamentos 
que regem o ensino, a pesquisa e a extensão são distintos. Estas diferenças afetam diretamente a especificação de 
requisitos do sistema que é utilizado por essas instituições. Este artigo descreve os desafios enfrentados durante a 
implantação do módulo Graduação e o processo realizado para mapear a relação entre o novo Regulamento dos 
Cursos de Graduação com os requisitos do SIGAA.
Palavras-chave: Processos de Negócio; Desenvolvimento de Sistemas; Regulamento de Graduação;
"
